driverId,Win or Lost,counts,per,per100
773,lost,6,1.0,100.0
774,lost,3,1.0,100.0
775,lost,1,1.0,100.0
776,lost,2,1.0,100.0
777,lost,1,1.0,100.0
778,lost,2,1.0,100.0
779,lost,1,1.0,100.0
780,lost,3,1.0,100.0
781,lost,1,1.0,100.0
782,lost,1,1.0,100.0
783,lost,1,1.0,100.0
784,lost,2,1.0,100.0
785,lost,2,1.0,100.0
786,lost,7,0.875,87.5
786,win,1,0.125,12.5
787,lost,3,1.0,100.0
788,lost,1,1.0,100.0
789,lost,2,1.0,100.0
790,lost,1,1.0,100.0
791,lost,1,1.0,100.0
792,lost,1,1.0,100.0
793,lost,5,1.0,100.0
794,lost,1,1.0,100.0
795,lost,1,1.0,100.0
796,lost,1,1.0,100.0
797,lost,2,1.0,100.0
798,lost,1,1.0,100.0
799,lost,2,1.0,100.0
800,lost,1,1.0,100.0
801,lost,1,1.0,100.0
802,lost,1,1.0,100.0
803,lost,1,1.0,100.0
804,lost,1,1.0,100.0
805,lost,1,1.0,100.0
806,lost,1,1.0,100.0
807,lost,182,1.0,100.0
808,lost,58,1.0,100.0
810,lost,19,1.0,100.0
811,lost,46,1.0,100.0
812,lost,11,1.0,100.0
813,lost,95,0.9895833333333334,99.0
813,win,1,0.010416666666666666,1.0
814,lost,59,1.0,100.0
815,lost,188,1.0,100.0
816,lost,20,1.0,100.0
817,lost,176,0.9617486338797814,96.2
817,win,7,0.03825136612021858,3.8
818,lost,58,1.0,100.0
819,lost,39,1.0,100.0
820,lost,35,1.0,100.0
821,lost,59,1.0,100.0
822,lost,143,0.9407894736842105,94.1
822,win,9,0.05921052631578947,5.9
823,lost,19,1.0,100.0
824,lost,34,1.0,100.0
825,lost,115,1.0,100.0
826,lost,107,1.0,100.0
827,lost,1,1.0,100.0
828,lost,97,1.0,100.0
829,lost,19,1.0,100.0
830,lost,105,0.9210526315789473,92.1
830,win,9,0.07894736842105263,7.9
831,lost,40,1.0,100.0
832,lost,114,1.0,100.0
833,lost,13,1.0,100.0
834,lost,5,1.0,100.0
835,lost,37,1.0,100.0
836,lost,39,1.0,100.0
837,lost,12,1.0,100.0
838,lost,42,1.0,100.0
839,lost,62,1.0,100.0
840,lost,73,1.0,100.0
841,lost,35,1.0,100.0
842,lost,58,0.9830508474576272,98.3
842,win,1,0.01694915254237288,1.7
843,lost,25,1.0,100.0
844,lost,52,0.9629629629629629,96.3
844,win,2,0.037037037037037035,3.7
845,lost,21,1.0,100.0
846,lost,33,1.0,100.0
847,lost,33,1.0,100.0
848,lost,33,1.0,100.0
849,lost,12,1.0,100.0
