driverId,Win or Lost,counts,per,per100
135,lost,7,1.0,100.0
136,lost,41,1.0,100.0
137,lost,184,0.8888888888888888,88.9
137,win,23,0.1111111111111111,11.1
138,lost,80,1.0,100.0
139,lost,40,1.0,100.0
140,lost,103,1.0,100.0
141,lost,20,1.0,100.0
142,lost,13,1.0,100.0
143,lost,4,1.0,100.0
144,lost,2,1.0,100.0
145,lost,76,0.987012987012987,98.7
145,win,1,0.012987012987012988,1.3
146,lost,32,1.0,100.0
147,lost,15,1.0,100.0
148,lost,22,1.0,100.0
149,lost,14,1.0,100.0
150,lost,2,1.0,100.0
151,lost,15,1.0,100.0
152,lost,82,1.0,100.0
153,lost,46,1.0,100.0
154,lost,178,1.0,100.0
155,lost,76,1.0,100.0
156,lost,88,1.0,100.0
157,lost,47,1.0,100.0
158,lost,143,1.0,100.0
159,lost,32,1.0,100.0
160,lost,111,1.0,100.0
161,lost,10,1.0,100.0
162,lost,17,1.0,100.0
163,lost,157,0.9573170731707317,95.7
163,win,7,0.042682926829268296,4.3
164,lost,7,1.0,100.0
165,lost,21,1.0,100.0
166,lost,54,1.0,100.0
167,lost,21,1.0,100.0
168,lost,2,1.0,100.0
169,lost,12,1.0,100.0
170,lost,71,1.0,100.0
171,lost,2,1.0,100.0
172,lost,174,0.9666666666666667,96.7
172,win,6,0.03333333333333333,3.3
173,lost,108,0.9818181818181818,98.2
173,win,2,0.01818181818181818,1.8
174,lost,16,1.0,100.0
175,lost,120,0.9836065573770492,98.4
175,win,2,0.01639344262295082,1.6
176,lost,88,1.0,100.0
177,lost,123,0.9609375,96.1
177,win,5,0.0390625,3.9
178,lost,105,0.8974358974358975,89.7
178,win,12,0.10256410256410256,10.3
179,lost,28,1.0,100.0
180,lost,9,1.0,100.0
181,lost,55,1.0,100.0
182,lost,149,0.8563218390804598,85.6
182,win,25,0.14367816091954022,14.4
183,lost,20,1.0,100.0
184,lost,41,1.0,100.0
185,lost,22,1.0,100.0
186,lost,9,1.0,100.0
187,lost,149,0.9675324675324676,96.8
187,win,5,0.032467532467532464,3.2
188,lost,23,1.0,100.0
189,lost,8,1.0,100.0
190,lost,18,1.0,100.0
191,lost,5,1.0,100.0
192,lost,32,1.0,100.0
193,lost,15,1.0,100.0
194,lost,37,1.0,100.0
195,lost,29,1.0,100.0
196,lost,30,1.0,100.0
197,lost,143,1.0,100.0
198,lost,3,1.0,100.0
199,lost,134,0.9178082191780822,91.8
199,win,12,0.0821917808219178,8.2
200,lost,113,0.9912280701754386,99.1
200,win,1,0.008771929824561403,0.9
201,lost,15,1.0,100.0
202,lost,69,0.9583333333333334,95.8
202,win,3,0.041666666666666664,4.2
203,lost,62,0.9117647058823529,91.2
203,win,6,0.08823529411764706,8.8
204,lost,8,1.0,100.0
205,lost,37,1.0,100.0
206,lost,64,1.0,100.0
207,lost,117,0.9069767441860465,90.7
207,win,12,0.09302325581395349,9.3
208,lost,14,1.0,100.0
209,lost,12,1.0,100.0
210,lost,5,1.0,100.0
211,lost,37,1.0,100.0
212,lost,58,1.0,100.0
213,lost,17,1.0,100.0
214,lost,2,1.0,100.0
